Player,Position,Probability,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Jakub Kaminski,Midfielder,0.005868371029,,,05/06/2002,20,3,,,,Poland,Europe,Wolfsburg,Germany,Europe,,,,
Krzysztof Piatek,Forward,0.006217956689,,,01/07/1995,27,10,,,,Poland,Europe,Salernitana,Italy,Europe,,,,
Karol Swiderski,Forward,0.004944617264,,,23/01/1997,25,17,,,,Poland,Europe,Charlotte,USA,North America,,,,
Arkadiusz Milik,Forward,0.0001445238371,,,28/02/1994,28,63,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Robert Lewandowski,Forward,0.006299826888,,,21/08/1988,34,134,,,,Poland,Europe,Barcelona,Spain,Europe,,,,
Czesław Michniewicz,Coach,0.004191348042,,,12/02/1970,52,,,188,Belarus,Poland,Europe,,,,,,,
Wayne Hennessey,Goalkeeper,0.001107449653,,,24/01/1987,35,106,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Danny Ward,Goalkeeper,0.0008515938101,,,22/06/1993,29,26,,,Wales,Wales,Europe,Leicester City,England,Europe,,,,
Adam Davies,Goalkeeper,0.0004719947882,,,17/07/1992,30,3,,,Germany,Wales,Europe,Sheffield United,England,Europe,,,,
Ethan Ampadu,Defender,0.0009882190319,,,14/09/2000,22,37,,,England,Wales,Europe,Spezia,Italy,Europe,,,,
Chris Mepham,Defender,0.0001931352139,,,05/11/2000,24,33,,,England,Wales,Europe,Bournemouth,England,Europe,,,,
Ben Davies,Defender,0.001479150074,,,24/04/1993,29,74,,,Wales,Wales,Europe,Tottenham,Scotland,Europe,,,,
Chris Gunter,Defender,0.001392709999,,,21/07/1989,33,109,,,Wales,Wales,Europe,Wimbledon,England,Europe,,,,
Connor Roberts,Defender,4.66E-05,,,23/09/1995,27,41,,,Wales,Wales,Europe,Burnley,England,Europe,,,,
Joe Rodon,Defender,0.001684101506,,,22/10/1997,24,30,,,Wales,Wales,Europe,Rennes,France,Europe,,,,
Neco Williams,Defender,0.0002052434625,,,13/04/2001,21,23,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Ben Cabango,Defender,0.0004240482063,,,30/05/2000,22,5,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Tom Lockyer,Defender,0.003497861464,,,03/12/1994,27,14,,,Wales,Wales,Europe,Luton Town,England,Europe,,,,
Joe Allen,Midfielder,0.003080016399,,,14/03/1990,32,72,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Aaron Ramsey,Midfielder,0.003966054474,,,26/12/1990,31,75,,,Wales,Wales,Europe,Nice,France,Europe,,,,
Harry Wilson,Midfielder,0.002267577391,,,22/03/1997,25,39,,,Wales,Wales,Europe,Fulham,England,Europe,,,,
Jonny Williams,Midfielder,0.002832998502,,,09/10/1993,29,33,,,England,Wales,Europe,Swindon Town,England,Europe,,,,
Joe Morrell,Midfielder,0.00490284783,,,03/01/1997,25,30,,,England,Wales,Europe,Portsmouth,England,Europe,,,,
Matthew Smith,Midfielder,0.005793288387,,,22/11/1999,22,19,,,England,Wales,Europe,MK Dons,England,Europe,,,,
Dylan Levitt,Midfielder,0.001456393355,,,17/11/2000,21,13,,,Wales,Wales,Europe,Dundee United,Scotland,Europe,,,,
Ruben Colwill,Midfielder,0.004351662188,,,27/04/2002,20,7,,,Wales,Wales,Europe,Swansea City,England,Europe,,,,
Sorba Thomas,Midfielder,0.006137417243,,,25/01/1999,23,6,,,England,Wales,Europe,Huddersfield Town,England,Europe,,,,
Gareth Bale,Forward,5.64E-03,,,16/07/1989,33,108,,,Wales,Wales,Europe,Los Angeles FC,USA,North America,,,,
Daniel James,Forward,0.0007348015652,,,10/11/1997,24,38,,,England,Wales,Europe,Fulham,England,Europe,,,,
Kieffer Moore,Forward,0.001612261578,,,08/08/1992,30,28,,,England,Wales,Europe,Bournemouth,England,Europe,,,,
Brennan Johnson,Forward,0.001776751993,,,23/05/2001,21,15,,,England,Wales,Europe,Nottingham Forest,England,Europe,,,,
Mark Harris,Forward,0.002830339432,,,29/12/1998,23,5,,,Wales,Wales,Europe,Cardiff City,Wales,Europe,,,,
Rob Page,Coach,0.005368007538,,,03/09/1974,48,,,183,Wales,Wales,Europe,,,,,,,
Ethan Horvath,Goalkeeper,1.52E-06,,,09/06/1995,27,8,,,USA,USA,North America,Luton Town,England,Europe,,,,
Sean Johnson,Goalkeeper,0.003269220232,,,31/05/1989,33,10,,,USA,USA,North America,NYCFC,USA,North America,,,,
Matt Turner,Goalkeeper,0.005539411578,,,24/06/1994,28,18,,191,USA,USA,North America,Arsenal,England,Europe,,,,
Tim Ream,Defender,0.006170655375,,,05/10/1987,35,46,,,USA,USA,North America,Fulham,England,Europe,,,,
Cameron Carter-Vickers,Defender,0.001245961827,,,31/12/1997,24,10,,,England,USA,North America,Celtic,Scotland,Europe,,,,
Sergino Dest,Defender,0.003821875696,,,03/11/2000,21,17,,,Netherland,USA,North America,AC Milan,Italy,Europe,,,,
Aaron Long,Defender,0.004349428853,,,12/10/1992,30,29,,,USA,USA,North America,NY Red Bulls,USA,North America,,,,
Shaq Moore,Defender,0.002123772729,,,02/11/1996,26,15,,180,USA,USA,North America,Nashville SC,USA,North America,,,,
Antonee Robinson,Defender,0.003212709458,,,08/08/1997,25,28,,,England,USA,North America,Fulham,England,Europe,,,,
Joe Scally,Defender,0.003811840011,,,31/12/1997,19,2,,,U.S,USA,North America,Gladbach,Germany,Europe,,,,
DeAndre Yedlin,Defender,0.004162522831,,,09/07/1993,29,74,,,USA,USA,North America,Inter Miami,USA,North America,,,,
Walker Zimmerman,Defender,0.002609219186,,,19/05/1993,29,31,,,USA,USA,North America,Nashville SC,USA,North America,,,,
Kellyn Acosta,Midfielder,0.001641188957,,,24/07/1995,27,52,,178,USA,USA,North America,LAFC,USA,North America,,,,
Tyler Adams,Midfielder,0.0007098357703,,,14/02/1999,23,19,,175,USA,USA,North America,Leeds United,England,Europe,,,,
Weston McKennie,Midfielder,0.005193331311,,,28/08/1998,24,34,,,USA,USA,North America,Juventus,Italy,Europe,,,,
Yunus Musah,Midfielder,0.004275751412,,,29/11/2002,19,18,,178,USA,USA,North America,Valencia,Spain,Europe,,,,
Cristian Roldan,Midfielder,0.0001960148704,,,03/06/1995,27,32,,,USA,USA,North America,Seattle Sonders,USA,North America,,,,
Brenden Aaronson,Midfielder,0.004639032901,,,22/10/2000,21,21,,,USA,USA,North America,Leeds United,England,Europe,,,,
Luca de la Torre,Midfielder,0.002700981259,,,23/05/1998,24,12,,,USA,USA,North America,Celta Vigo,Spain,Europe,,,,
Gio Reyna,Forward,0.0004315944234,,,13/11/2002,19,11,,,,USA,North America,Borussia Dortmund,Germany,Europe,,,,
Jesus Ferreira,Forward,0.002151327951,,,24/12/2000,21,12,,175,Colombia,USA,North America,FC Dallas,USA,North America,,,,
Jordan Morris,Forward,0.006272214583,,,26/10/1994,27,47,,,,USA,North America,Seattle Sounders,USA,North America,,,,
Haji Wright,Forward,0.001036133001,,,27/3/1998,24,3,,,USA,USA,North America,Antalyaspor,Turkey,Europe,,,,
Christian Pulisic,Forward,0.001847819881,,,18/09/1998,24,50,,,USA,USA,North America,Chelsea,England,Europe,,,,
Josh Sargent,Forward,0.001664368738,,,20/02/2000,22,19,,,USA,USA,North America,Norwich City,England,Europe,,,,
Timothy Weah,Forward,0.003094866494,,,22/02/2000,22,24,,,USA,USA,North America,LOSC Lille,France,Europe,,,,
Gregg Berhalter,Coach,0.005244275342,,,01/08/1973,49,,,185,USA,USA,North America,,,,,,,
Thibaut Courtois,Goalkeeper,0.001117134557,,,11/05/1992,30,96,,,Belgium,Belgium,Europe,Real Madrid,Spain,Europe,,,,
Simon Mignolet,Goalkeeper,0.002766405392,,,06/03/1988,34,35,,,Belgium,Belgium,Europe,Club Brugge,Belgium,Europe,,,,
Koen Casteels,Goalkeeper,0.004393394319,,,25/06/1992,30,4,,,Belgium,Belgium,Europe,Wolfsburg,Germany,Europe,,,,
Toby Alderweireld,Defender,0.001466175356,,,02/03/1989,33,123,,,Belgium,Belgium,Europe,Royal Antwerp,Belgium,Europe,,,,
Arthur Theate,Defender,0.006199093232,,,25/05/2000,22,3,,,Belgium,Belgium,Europe,Stade Rennes,France,Europe,,,,
Wout Faes,Defender,0.003131979814,,,03/04/1998,24,1,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Jan Vertonghen,Defender,0.004810554198,,,24/04/1987,35,141,,,Belgium,Belgium,Europe,Anderlecht,Belgium,Europe,,,,
Thomas Meunier,Defender,0.00565183646,,,12/09/1991,31,58,,,Belgium,Belgium,Europe,Borussia Dortmund,Germany,Europe,,,,
Timothy Castagne,Defender,0.002635697025,,,05/12/1995,26,25,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Zeno Debast,Defender,0.003014336534,,,24/10/2003,18,2,,,Belgium,Belgium,Europe,Anderlecht,Belgium,Europe,,,,
Kevin de Bruyne,Midfielder,0.0007462742922,,,28/06/1991,31,93,,,Belgium,Belgium,Europe,Man City,England,Europe,,,,
Hans Vanaken,Midfielder,0.001258461932,,,24/08/1992,30,22,,,Belgium,Belgium,Europe,Club Brugge,Belgium,Europe,,,,
Youri Tielemans,Midfielder,0.002332800372,,,07/05/1997,54,5,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Leander Dendoncker,Midfielder,0.001421195085,,,15/04/1995,27,29,,,Belgium,Belgium,Europe,Aston Villa,England,Europe,,,,
Amadou Onana,Midfielder,0.003444342678,,,16/08/2001,21,2,,,Senegal,Belgium,Europe,Everton,England,Europe,,,,
Yannick Carrasco,Midfielder,0.005230785721,,,04/09/1993,29,59,,,Belgium,Belgium,Europe,Atletico Madrid,Spain,Europe,,,,
Axel Witsel,Midfielder,0.002782108822,,,12/01/1989,33,126,,,Belgium,Belgium,Europe,Atletico Madrid,Spain,Europe,,,,
Charles de Ketelaere,Midfielder,0.0001807875166,,,10/04/2001,21,10,,,Belgium,Belgium,Europe,AC Milan,Italy,Europe,,,,
Leandro Trossard,Midfielder,0.00418976182,,,04/12/1994,27,21,,,Belgium,Belgium,Europe,Brighton,England,Europe,,,,
Thorgan Hazard,Midfielder,0.003763115245,,,29/03/1993,29,45,,,Belgium,Belgium,Europe,Borussia Dortmund,Germany,Europe,,,,
Romelu Lukaku,Forward,1.66E-05,,,13/05/1993,29,102,,,Belgium,Belgium,Europe,Inter Milan,Italy,Europe,,,,
Michy Batshuayi,Forward,0.001742889413,,,02/10/1993,29,47,,,Belgium,Belgium,Europe,Fenerbahce,Turkey,Europe,,,,
Dries Mertens,Forward,0.002586062361,,,06/05/1987,35,106,,,Belgium,Belgium,Europe,Galatasaray,Turkey,Europe,,,,
Eden Hazard,Forward,0.003425217097,,,07/01/1991,31,122,,,Belgium,Belgium,Europe,Real Madrid,Spain,Europe,,,,
Lois Openda,Forward,0.003584625879,,,12/02/2000,22,4,,,Belgium,Belgium,Europe,Lens,France,Europe,,,,
Jeremy Doku,Forward,0.004499495808,,,27/05/2002,20,10,,,Belgium,Belgium,Europe,Stade Rennes,France,Europe,,,,
Roberto Martínez,Coach,0.005522552172,,,13/7/1973,49,,,178,Spain,Belgium,Europe,,,,,,,
Simon Ngapandouetnbu,Goalkeeper,0.006117978308,,,12/04/2003,19,0,,,Cameroon,Cameroon,Africa,Marseille,France,Europe,,,,
Devis Epassy,Goalkeeper,0.002890467116,,,02/02/1993,29,5,,,France,Cameroon,Africa,Abha,Saudi Arabia,Middle East,,,,
Andre Onana,Goalkeeper,0.002974829084,,,02/04/1996,26,31,,,Cameroon,Cameroon,Africa,Inter Milan,Italy,Europe,,,,
Nicolas Nkoulou,Defender,0.00623672581,,,27/03/1990,32,76,,,Cameroon,Cameroon,Africa,Aris,Greece,Europe,,,,
Nouhou Tolo,Defender,0.001115267005,,,23/06/1997,25,16,,,Cameroon,Cameroon,Africa,Seattle Sounders,USA,North America,,,,
Oliver Mbaizo,Defender,0.005713181376,,,15/08/1997,25,11,,,Cameroon,Cameroon,Africa,Philadelphia Union,USA,North America,,,,
Collins Fai,Defender,0.003655900146,,,13/8/1992,29,50,,,Cameroon,Cameroon,Africa,Al-Tai,Saudi Arabia,Middle East,,,,
Jean-Charles Castelletto,Defender,0.004069837572,,,26/01/1995,27,12,,,France,Cameroon,Africa,Nantes,France,Europe,,,,
Enzo Ebosse,Defender,0.002289194436,,,11/03/1999,23,1,,,France,Cameroon,Africa,Udinese,Italy,Europe,,,,
Christopher Wooh,Defender,0.00361507388,,,18/09/2001,21,1,,,France,Cameroon,Africa,Rennes,France,Europe,,,,
Olivier Ntcham,Midfielder,0.004761376172,,,09/02/1996,26,1,,,,Cameroon,Africa,Swansea City,Wales,Europe,,,,
Pierre Kunde,Midfielder,0.001245244843,,,26/07/1995,27,30,,,Cameroon,Cameroon,Africa,Olympiakos,Greece,Europe,,,,
Martin Hongla,Midfielder,0.001483216044,,,16/03/1998,24,17,,,Cameroon,Cameroon,Africa,Verona,Italy,Europe,,,,
Samuel Gouet,Midfielder,0.003978577546,,,14/12/1997,24,21,,,Cameroon,Cameroon,Africa,Mechelen,Belgium,Europe,,,,
Gael Ondoa,Midfielder,0.003313249899,,,04/11/1995,26,3,,,Cameroon,Cameroon,Africa,Hannover 96,Germany,Europe,,,,
Andre-Franck Zambo-Anguissa,Midfielder,0.006315092792,,,16/11/1995,26,42,,,Cameroon,Cameroon,Africa,Napoli,Italy,Europe,,,,
Moumi Ngamaleu,Forward,0.001120313294,,,09/07/1994,28,21,,,,Cameroon,Africa,Dynamo Moscow,Russia,Europe,,,,
Jerome Ngom Mbekeli,Midfielder,0.001667375753,,,30/07/1998,24,0,,,Cameroon,Cameroon,Africa,Apejec FC,Cameroon,Africa,,,,
Jean-Pierre Nsame,Forward,0.002346161212,,,01/05/1993,29,3,,,,Cameroon,Africa,Young Boys,Switzerland,Europe,,,,
Georges-Kevin Nkoudou,Forward,0.002863880648,,,13/02/1995,27,1,,,,Cameroon,Africa,Besiktas,Turkey,Europe,,,,
Vincent Aboubakar,Forward,0.0006466293841,,,22/01/1992,30,88,,,Cameroon,Cameroon,Africa,Al-Nassr,Saudi Arabia,Middle East,,,,
Karl Toko Ekambi,Forward,0.00395914223,,,14/09/1992,30,50,,,France,Cameroon,Africa,Lyon,France,Europe,,,,
Bryan Mbeumo,Forward,0.005279378394,,,07/08/1999,23,1,,,Cameroon,Cameroon,Africa,Brentford,England,Europe,,,,
Eric Maxim Choupo-Moting,Forward,0.003907439811,,,23/03/1989,33,68,,,Germany,Cameroon,Africa,Bayern Munich,Germany,Europe,,,,
Christian Bassogog,Forward,0.004263271338,,,18/10/1995,27,42,,,Cameroon,Cameroon,Africa,SH Shenhua,China,Asia,,,,
Marou Souaibou,Forward,0.003138692296,,,03/12/1995,21,0,,,Cameroon,Cameroon,Africa,Coton Sport FC,Cameroon,Africa,,,,
Rigobert Song,Coach,0.004438488001,,,1/7/1976,46,,,183,Cameroon,Cameroon,Africa,,,,,,,
